"","V1"
"v634","na - husband knows that respondent is using contraception"
"v635","respondent opinion compared to husband's on use of contraception"
"v636","husband or family member pressured respondent to become pregnant"
"v701","husband/partner's education level"
"v702","husband/partner's highest year of education (at level in v701)"
"v704","husband/partner's occupation"
"v704a","husband/partner worked in last 7 days/12 months"
"v705","husband/partner's occupation (grouped)"
"v714","respondent currently working"
"v714a","respondent has a job, but currently absent"
"v715","husband/partner's total number of years of education"
"v716","respondent's occupation"
"v717","respondent's occupation (grouped)"
"v719","respondent works for family, others, self"
"v721","na - respondent works at home or away"
"v729","husband/partner's educational attainment"
"v730","husband/partner's age"
"v731","respondent worked in last 12 months"
"v732","respondent employed all year/seasonal"
"v739","person who usually decides how to spend respondent's earnings"
"v740","na - type of land where respondent works"
"v741","type of earnings from respondent's work"
"v743a","person who usually decides on: respondent's health care"
"v743b","person who usually decides on: large household purchases"
"v743c","na - person who usually decides on: household purchases for daily needs"
"v743d","person who usually decides on: visits to family or relatives"
"v743e","na - person who usually decides on: food to be cooked each day"
"v743f","person who usually decides on: what to do with money husband earns"
"v744a","beating justified if wife goes out without telling husband"
"v744b","beating justified if wife neglects the children"
"v744c","beating justified if wife argues with husband"
"v744d","beating justified if wife refuses to have sex with husband"
"v744e","beating justified if wife burns the food"
"v745a","owns a house alone or jointly"
"v745b","owns land alone or jointly"
"v745c","title deed on house own by respondent"
"v745d","title deed on land own by respondent"
"v746","respondent earns more than husband/partner"
"v750","ever heard of a sexually transmitted infection (sti)"
"v751","ever heard of aids"
"v754bp","na - reduce risk of getting hiv: do not have sex at all"
"v754cp","reduce risk of getting hiv: always use condoms during sex"
"v754dp","reduce risk of getting hiv: have 1 sex partner only, who has no other partners"
"v754jp","can get hiv from mosquito bites"
"v754wp","can get hiv by sharing food with person who has aids"
"v756","a healthy looking person can have hiv"
"v761","condom used during last sex with most recent partner"
"v761b","condom used during last sex with 2nd to most recent partner"
"v761c","condom used during last sex with 3rd to most recent partner"
"v762","source of condoms used for last sex"
"v762a","brand of condom used for last sex"
"v763a","had any sti in last 12 months"
"v763b","had genital sore/ulcer in last 12 months"
"v763c","had genital discharge in last 12 months"
"v763d","na - had cs sti in last 12 months"
"v763e","na - had cs sti in last 12 months"
"v763f","na - had cs sti in last 12 months"
"v763g","na - had cs sti in last 12 months"
"v766a","number of sex partners, excluding spouse, in last 12 months"
"v766b","number of sex partners, including spouse, in last 12 months"
"v767a","relationship with most recent sex partner"
"v767b","relationship with 2nd to most recent sex partner"
"v767c","relationship with 3rd to most recent sex partner"
"v768a","na - length of time knows last partner"
"v768b","na - length of time knows other partner (1)"
"v768c","na - length of time knows other partner (2)"
"v770","na - sought advice/treatment for last sti infection"
"v770a","na - sought sti advice/treatment from: government hospital"
"v770b","na - sought sti advice/treatment from: cs public"
"v770c","na - sought sti advice/treatment from: cs public"
"v770d","na - sought sti advice/treatment from: cs public"
"v770e","na - sought sti advice/treatment from: cs public"
"v770f","na - sought sti advice/treatment from: cs public"
"v770g","na - sought sti advice/treatment from: cs public"
"v770h","na - sought sti advice/treatment from: cs public"
"v770i","na - sought sti advice/treatment from: cs public"
"v770j","na - sought sti advice/treatment from: cs public"
"v770k","na - sought sti advice/treatment from: private hospital/clinic/doctor"
"v770l","na - sought sti advice/treatment from: cs private"
"v770m","na - sought sti advice/treatment from: cs private"
"v770n","na - sought sti advice/treatment from: cs private"
"v770o","na - sought sti advice/treatment from: cs private"
"v770p","na - sought sti advice/treatment from: cs private"
"v770q","na - sought sti advice/treatment from: cs private"
"v770r","na - sought sti advice/treatment from: cs private"
"v770s","na - sought sti advice/treatment from: cs private"
"v770t","na - sought sti advice/treatment from: cs other"
"v770u","na - sought sti advice/treatment from: cs other"
"v770v","na - sought sti advice/treatment from: cs other"
"v770w","na - sought sti advice/treatment from: cs other"
"v770x","na - sought sti advice/treatment from: other"
"v774a","hiv transmitted during pregnancy"
"v774b","hiv transmitted during delivery"
"v774c","hiv transmitted by breastfeeding"
"v775","na - knows someone who has, or is suspected of having, hiv"
"v777","na - would want hiv infection in family to remain secret"
"v777a","na - would be ashamed if someone in the family had hiv"
"v778","na - willing to care for relative with aids"
"v779","na - a female teacher infected with hiv, but is not sick, should be allowed to c"
"v780","na - children should be taught about condoms to avoid aids"
"v781","ever been tested for hiv"
"v783","na - know a place to get hiv test"
"v784a","na - place for hiv test: government hospital"
"v784b","na - place for hiv test: cs public"
"v784c","na - place for hiv test: cs public"
"v784d","na - place for hiv test: cs public"
"v784e","na - place for hiv test: cs public"
"v784f","na - place for hiv test: cs public"
"v784g","na - place for hiv test: cs public"
"v784h","na - place for hiv test: cs public"
"v784i","na - place for hiv test: cs public"
"v784j","na - place for hiv test: cs public"
"v784k","na - place for hiv test: private hospital/clinic/doctor"
"v784l","na - place for hiv test: cs private"
"v784m","na - place for hiv test: cs private"
"v784n","na - place for hiv test: cs private"
"v784o","na - place for hiv test: cs private"
"v784p","na - place for hiv test: cs private"
"v784q","na - place for hiv test: cs private"
"v784r","na - place for hiv test: cs private"
"v784s","na - place for hiv test: cs private"
"v784t","na - place for hiv test: cs other"
"v784u","na - place for hiv test: cs other"
"v784v","na - place for hiv test: cs other"
"v784x","na - place for hiv test: other"
"v785","heard about other stis"
"v791a","na - last 12 months had sex in return for gifts, cash or other"
"v792","used a method at last sexual intercourse"
"v792a","method used last sexual intercourse: female sterilization"
"v792b","method used last sexual intercourse: male sterilization"
"v792c","method used last sexual intercourse: iud"
"v792d","method used last sexual intercourse: injectables"
"v792e","method used last sexual intercourse: implants"
"v792f","method used last sexual intercourse: pill"
"v792g","method used last sexual intercourse: condom"
"v792h","na - method used last sexual intercourse: female condom"
"v792i","method used last sexual intercourse: emergency contraception"
"v792j","method used last sexual intercourse: standard days method"
"v792k","method used last sexual intercourse: lactational amenorrhea"
"v792l","method used last sexual intercourse: rhythm"
"v792m","method used last sexual intercourse: withdrawal"
"v792n","na - method used last sexual intercourse: cs"
"v792o","na - method used last sexual intercourse: cs"
"v792p","na - method used last sexual intercourse: cs"
"v792x","method used last sexual intercourse: other modern"
"v792y","method used last sexual intercourse: other traditional"
"v820","na - condom used at first sex"
"v821a","na - most recent sex partner younger, the same age or older"
"v821b","na - 2nd to most recent sex partner younger, the same age or older"
"v821c","na - 3rd to most recent sex partner younger, the same age or older"
"v822","wife justified asking husband to use condom if he has sti"
"v823","na - can get hiv by witchcraft or supernatural means"
"v824","drugs to avoid hiv transmission to baby during pregnancy"
"v825","would buy vegetables from vendor with hiv"
"v826","na - last time tested for hiv"
"v826a","months ago most recent hiv test"
"v827","na - last hiv test: on your own, offered or required"
"v828","received result from last hiv test"
"v829","place where last hiv test was taken"
"v830","na - age of first sex partner"
"v831","na - first sex partner younger, same age or older"
"v832b","na - time since last sex with 2nd to most recent partner"
"v832c","na - time since last sex with 3rd to most recent partner"
"v833a","na - used condom every time had sex with most recent partner in last 12 months"
"v833b","na - used condom every time had sex with 2nd to most recent partner in last 12 m"
"v833c","na - used condom every time had sex with 3rd to most recent partner in last 12 m"
"v834a","na - age of most recent partner"
"v834b","na - age of 2nd to most recent partner"
"v834c","na - age of 3rd to most recent partner"
"v835a","na - alcohol consumption at last sex with most recent partner"
"v835b","na - alcohol consumption at last sex with 2nd to most recent partner"
"v835c","na - alcohol consumption at last sex with 3rd to most recent partner"
"v836","total lifetime number of sex partners"
"v837","heard of arvs to treat hiv"
"v838a","na - during antenatal visit talked about: hiv transmitted mother to child"
"v838b","na - during antenatal visit talked about: things to do to prevent getting hiv"
"v838c","na - during antenatal visit talked about: getting tested for hiv"
"v839","na - offered hiv test as part of antenatal visit"
"v839a","na - offered hiv test between the time went for delivery and before baby was bor"
"v840","tested for hiv as part of antenatal visit"
"v840a","tested for hiv between the time went for delivery and before baby was born"
"v841","got results of hiv test as part of antenatal visit"
"v841a","got results of hiv test when tested before baby was born"
"v842","place where hiv test was taken as part of antenatal visit"
"v843","tested for hiv since antenatal visit test"
"v850a","respondent can refuse sex"
"v850b","respondent can ask partner to use a condom"
"v852a","na - how long ago first had sex with most recent partner"
"v852b","na - how long ago first had sex with 2nd most recent partner"
"v852c","na - how long ago first had sex with 3rd most recent partner"
"v853a","na - times in last 12 months had sex with most recent partner"
"v853b","na - times in last 12 months had sex with 2nd most recent partner"
"v853c","na - times in last 12 months had sex with 3rd most recent partner"
"v855","na - received counseling after tested for aids during antenatal care"
"v856","knowledge and use of hiv test kits"
"v857a","children with hiv should be allowed to attend school with children without hiv"
"v857b","na - people hesitate to take hiv test because reaction of other people if positi"
"v857c","na - people talk badly about people with or believed to have hiv"
"v857d","na - people with or believed to have hiv lose respect from other people"
"v858","na - would be afraid to get hiv from contact with saliva from infected person"
"v859","na - knowledge and attitude to prep to prevent getting hiv"
"v860m","month of most recent hiv test"
"v860y","year of most recent hiv test"
"v860c","date of most recent hiv test (cmc)"
"v861","result of hiv test"
"v862m","month received first hiv test positive"
"v862y","year received first hiv test positive"
"v862c","date received first hiv test positive (cmc)"
"v863","currently taking arvs"
"v864","number of hiv tests"
"v865","na - disclosed hiv status to others"
"v866","na - respondent feels ashamed of hiv status"
"v867a","na - things happened because hiv positive status: people talk badly"
"v867b","na - things happened because hiv positive status: someone else disclosed status"
"v867c","na - things happened because hiv positive status: verbally insulted/harassed/thr"
"v867d","na - things happened because hiv positive status: healthcare workers talked badl"
"v867e","na - things happened because hiv positive status: healthcare workers verbally ab"
"v867f","na - things happened because hiv positive status: cs"
"v867g","na - things happened because hiv positive status: cs"
"v801","time interview started (hhmm - 24 hour clock)"
"v802","time interview ended (hhmm - 24 hour clock)"
"v803","length of interview in minutes"
"v804","number of visits"
"v805","interviewer identification"
"v806","na - keyer identification"
"v811","presence of children < 10 for 'wife beating justified' questions"
"v812","presence of husband for 'wife beating justified' questions"
"v813","presence of other males for 'wife beating justified' questions"
"v814","presence of other females for 'wife beating justified' questions"
"v815a","presence of children < 10 during sexual activity section"
"v815b","presence of male adults during sexual activity section"
"v815c","presence of female adults during sexual activity section"
"vcol_1","calendar column number"
"vcal_1","calendar"
"vcol_2","calendar column number"
"vcal_2","calendar"
"d005","weight for domestic violence (6 decimals)"
"d100","ever had an intimate relationship with a man"
"d101a","husband/partner jealous if respondent talks with other men"
"d101b","husband/partner accuses respondent of unfaithfulness"
"d101c","husband/partner does not permit respondent to meet female friends"
"d101d","husband/partner tries to limit respondent's contact with family"
"d101e","husband/partner insists on knowing where respondent is"
"d101f","na - husband/partner doesn't trust respondent with money"
"d101g","na - cs control issue"
"d101h","na - cs control issue"
"d101i","na - cs control issue"
"d101j","na - cs control issue"
"d102","number of control issues answered 'yes'  (d101x = 1)"
"d103a","ever been humiliated by husband/partner"
"d103b","ever been threatened with harm by husband/partner"
"d103c","ever been insulted or made to feel bad by husband/partner"
"d103d","na - ever cs emotional abuse by husband/partner"
"d103e","na - ever cs emotional abuse by husband/partner"
"d103f","na - ever cs emotional abuse by husband/partner"
"d104","experienced any emotional violence (d103x series)"
"d105a","ever been pushed, shook or had something thrown by husband/partner"
"d105b","ever been slapped by husband/partner"
"d105c","ever been punched with fist or hit by something harmful by husband/partner"
"d105d","ever been kicked or dragged by husband/partner"
"d105e","ever been strangled or burnt by husband/partner"
"d105f","ever been threatened with knife/gun or other weapon by husband/partner"
"d105g","na - ever cs physical violence by husband/partner"
"d105h","ever been physically forced into unwanted sex by husband/partner"
"d105i","ever been forced into other unwanted sexual acts by husband/partner"
"d105j","ever had arm twisted or hair pulled by husband/partner"
"d105k","ever been physically forced to perform sexual acts respondent didn't want to"
"d105l","na - ever cs physical violence by husband/partner"
"d105m","na - ever cs physical violence by husband/partner"
"d105n","na - ever cs physical violence by husband/partner"
"d106","experienced any less severe violence (d105a-c,j) by husband/partner"
"d107","experienced any severe violence (d105d-f) by husband/partner"
"d108","experienced any sexual violence (d105h-i,k) by husband/partner"
"d109","na - timing of first event (from d105 series) in years after marriage"
"d109a","age when first forced to have sexual acts by husband or partner"
"d110a","ever had bruises because of husband/partner's actions"
"d110b","ever had eye injuries, sprains, dislocations or burns because of husband/partner"
"d110c","na - ever went to health facility because of husband/partner's actions"
"d110d","ever had wounds, broken bones, broken teeth or other serious injury because of h"
"d110e","na - cs because of husband/partner's actions"
"d110f","na - cs because of husband/partner's actions"
"d110g","na - cs because of husband/partner's actions"
"d110h","na - cs because of husband/partner's actions"
"d111","experienced any of listed husband/partner's actions (d110x series)"
"d112","respondent ever physically hurt husband/partner when he was not hurting her"
"d112a","frequency of physically hurting husband/partner in last 12 months"
"d113","husband/partner drinks alcohol"
"d114","frequency of husband/partner being drunk"
"d115b","mother: person who has ever physically hurt respondent"
"d115c","father: person who has ever physically hurt respondent"
"d115d","daughter/son: person who has ever physically hurt respondent"
"d115e","na - son: person who has ever physically hurt respondent"
"d115f","sister/brother: person who has ever physically hurt respondent"
"d115g","other relative: person who has ever physically hurt respondent"
"d115h","na - other female family: person who has ever physically hurt respondent"
"d115i","na - other male family: person who has ever physically hurt respondent"
"d115j","na - former partner: person who has ever physically hurt respondent"
"d115k","current boyfriend: person who has ever physically hurt respondent"
"d115l","former boyfriend: person who has ever physically hurt respondent"
"d115m","na - step-mother: person who has ever physically hurt respondent"
"d115n","na - step-father: person who has ever physically hurt respondent"
"d115o","mother-in-law: person who has ever physically hurt respondent"
"d115p","father-in-law: person who has ever physically hurt respondent"
"d115q","other in-law: person who has ever physically hurt respondent"
"d115r","na - other male in-law: person who has ever physically hurt respondent"
"d115s","na - female friend: person who has ever physically hurt respondent"
"d115t","na - male friend: person who has ever physically hurt respondent"
"d115u","na - neighbor: person who has ever physically hurt respondent"
"d115v","teacher: person who has ever physically hurt respondent"
"d115w","employer: person who has ever physically hurt respondent"
"d115x","other: person who has ever physically hurt respondent"
"d115y","no person other than husband/partner ever physically hurt respondent"
"d115xa","na - stranger: person who has ever physically hurt respondent"
"d115xb","na - other female in-law/family: person who has ever physically hurt respondent"
"d115xc","na - other male in-law/family: person who has ever physically hurt respondent"
"d115xd","schoolmate/classmate: person who has ever physically hurt respondent"
"d115xe","police: person who has ever physically hurt respondent"
"d115xf","na - religious leader: person who has ever physically hurt respondent"
"d115xg","na - lawyer: person who has ever physically hurt respondent"
"d115xh","na - doctor: person who has ever physically hurt respondent"
"d115xi","na - cs: person who has ever physically hurt respondent"
"d115xj","na - cs: person who has ever physically hurt respondent"
"d115xk","na - cs: person who has ever physically hurt respondent"
"d116","na - person who hurt respondent most often"
"d117a","frequency of being hit in last 12 months by other than husband/partner"
"d118a","husband/partner: person who hurt respondent during a pregnancy"
"d118b","mother: person who hurt respondent during a pregnancy"
"d118c","father/step-father: person who hurt respondent during a pregnancy"
"d118d","daughter/son: person who hurt respondent during a pregnancy"
"d118e","na - son alone: person who hurt respondent during a pregnancy"
"d118f","sister/brother: person who hurt respondent during a pregnancy"
"d118g","other relative: person who hurt respondent during a pregnancy"
"d118h","na - other female family: person who hurt respondent during a pregnancy"
"d118i","na - other male family: person who hurt respondent during a pregnancy"
"d118j","former husband/partner: person who hurt respondent during a pregnancy"
"d118k","current boyfriend: person who hurt respondent during a pregnancy"
"d118l","former boyfriend: person who hurt respondent during a pregnancy"
"d118m","na - step-mother: person who hurt respondent during a pregnancy"
"d118n","na - step-father: person who hurt respondent during a pregnancy"
"d118o","mother-in-law: person who hurt respondent during a pregnancy"
"d118p","father-in-law: person who hurt respondent during a pregnancy"
"d118q","other in-law: person who hurt respondent during a pregnancy"
"d118r","na - other female/male in-law: person who hurt respondent during a pregnancy"
"d118s","na - female friend: person who hurt respondent during a pregnancy"
"d118t","na - male friend: person who hurt respondent during a pregnancy"
"d118u","na - neighbor: person who hurt respondent during a pregnancy"
"d118v","teacher: person who hurt respondent during a pregnancy"
"d118w","employer: person who hurt respondent during a pregnancy"
"d118x","other: person who hurt respondent during a pregnancy"
"d118y","respondent was not hurt by anyone during a pregnancy"
"d118xa","na - stranger: person who hurt respondent during a pregnancy"
"d118xb","na - other female in-law/family: person who hurt respondent during a pregnancy"
"d118xc","na - other male in-law/family: person who hurt respondent during a pregnancy"
"d118xd","schoolmate/classmate: person who hurt respondent during a pregnancy"
"d118xe","police: person who hurt respondent during a pregnancy"
"d118xf","na - religious leader: person who hurt respondent during a pregnancy"
"d118xg","na - lawyer: person who hurt respondent during a pregnancy"
"d118xh","na - doctor: person who hurt respondent during a pregnancy"
"d118xi","na - cs: person who hurt respondent during a pregnancy"
"d118xj","na - cs: person who hurt respondent during a pregnancy"
"d118xk","na - cs: person who hurt respondent during a pregnancy"
"d119a","na - husband/partner: person respondent went to seek help"
"d119b","na - mother: person respondent went to seek help"
"d119c","na - father: person respondent went to seek help"
"d119d","na - daughter: person respondent went to seek help"
"d119e","na - son: person respondent went to seek help"
"d119f","na - sister: person respondent went to seek help"
"d119g","na - brother: person respondent went to seek help"
"d119h","own family: person respondent went to seek help"
"d119i","husband/partner family: person respondent went to seek help"
"d119j","current/former husband/partner: person respondent went to seek help"
"d119k","current/former boyfriend: person respondent went to seek help"
"d119l","na - former boyfriend alone: person respondent went to seek help"
"d119m","na - step-mother: person respondent went to seek help"
"d119n","na - step-father: person respondent went to seek help"
"d119o","na - mother-in-law: person respondent went to seek help"
"d119p","na - father-in-law: person respondent went to seek help"
"d119q","na - other female in-law: person respondent went to seek help"
"d119r","na - other male in-law: person respondent went to seek help"
"d119s","na - female friend: person respondent went to seek help"
"d119t","na - male friend: person respondent went to seek help"
"d119u","neighbor: person respondent went to seek help"
"d119v","na - teacher: person respondent went to seek help"
"d119w","na - employer: person respondent went to seek help"
"d119x","other: person respondent went to seek help"
"d119y","respondent did not seek help from anyone"
"d119xa","na - stranger: person respondent went to seek help"
"d119xb","social service organization: person respondent went to seek help"
"d119xc","na - cs: person respondent went to seek help"
"d119xd","friend: person respondent went to seek help"
"d119xe","police: person respondent went to seek help"
"d119xf","religious leader: person respondent went to seek help"
"d119xg","lawyer: person respondent went to seek help"
"d119xh","doctor: person respondent went to seek help"
"d119xi","fchv: person respondent went to seek help - cs"
"d119xj","safe home: person respondent went to seek help - cs"
"d119xk","local judicial committee: person respondent went to seek help - cs"
"d120","na - main reason never sought help"
"d121","respondent's father ever beat her mother"
"d122a","interview interrupted: husband's presence"
"d122b","interview interrupted: other adult male's presence"
"d122c","interview interrupted: adult female's presence"
"d123","na - first sex was wanted or forced"
"d124","ever forced to have sex by anyone other than husband/partner in last 12 months"
"d125","ever forced to perform unwanted sexual acts"
"d126","age at first forced sexual act"
"d127","na - person who forced respondent into first sexual act"
"d127a","father/step-father: person who forced to have sexual intercourse/acts"
"d127b","brother/step-brother: person who forced to have sexual intercourse/acts"
"d127c","other relative: person who forced to have sexual intercourse/acts"
"d127d","current boyfriend: person who forced to have sexual intercourse/acts"
"d127e","former boyfriend: person who forced to have sexual intercourse/acts"
"d127f","in-law: person who forced to have sexual intercourse/acts"
"d127g","own friend/acquaintance: person who forced to have sexual intercourse/acts"
"d127h","family friend: person who forced to have sexual intercourse/acts"
"d127i","teacher: person who forced to have sexual intercourse/acts"
"d127j","schoolmate/classmate: person who forced to have sexual intercourse/acts"
"d127k","employer/someone at work: person who forced to have sexual intercourse/acts"
"d127l","police/soldier: person who forced to have sexual intercourse/acts"
"d127m","priest/religious leader: person who forced to have sexual intercourse/acts"
"d127n","stranger: person who forced to have sexual intercourse/acts"
"d127o","na - cs: person who forced to have sexual intercourse/acts"
"d127p","na - cs: person who forced to have sexual intercourse/acts"
"d127q","na - cs: person who forced to have sexual intercourse/acts"
"d127r","na - cs: person who forced to have sexual intercourse/acts"
"d127x","other: person who forced to have sexual intercourse/acts"
"d128","ever told anyone else about violence"
"d129","respondent afraid of husband/partner most of the time, sometimes or never"
"d130a","previous husband: ever hit, slap, kick or physically hurt respondent"
"d130b","previous husband: physically forced to have sex or to perform sexual acts"
"d130c","previous husband: humiliate, threaten to hurt, insult or make feel bad"
"mth1","last 2 weeks: feeling nervous, anxious, on edge"
"mth2","last 2 weeks: not able to stop/control worrying"
"mth3","last 2 weeks: worrying about things"
"mth4","last 2 weeks: trouble relaxing"
"mth5","last 2 weeks: restless and hard to sit still"
"mth6","last 2 weeks: become easily annoyed/irritable"
"mth7","last 2 weeks: feeling afraid as something awful might happen"
"mth8","last 2 weeks: little interest/pleasure in doing things"
"mth9","last 2 weeks: feeling down, depressed or hopeless"
"mth10","last 2 weeks: trouble falling asleep or sleeping too much"
"mth11","last 2 weeks: feeling tired or having little energy"
"mth12","last 2 weeks: poor appetite or overeating"
"mth13","last 2 weeks: feeling bad about yourself, you are a failure or let yourself or f"
"mth14","last 2 weeks: trouble concentrating in reading or watching tv"
"mth15","last 2 weeks: moving/speaking slowly or moving around a lot more than usual"
"mth16","last 2 weeks: thoughts of better off dead or hurting yourself"
"mth17","ever tried to seek help for the things you experienced"
"mth18a","person sought help from: doctor/medical personnel"
"mth18b","person sought help from: social service organization"
"mth18c","person sought help from: social worker"
"mth18d","person sought help from: community health worker/fieldworker"
"mth18e","person sought help from: religious leader"
"mth18f","person sought help from: current/former spouse/partner"
"mth18g","person sought help from: other family member"
"mth18h","person sought help from: friend"
"mth18i","person sought help from: neighbor"
"mth18j","person sought help from: ngo - cs"
"mth18k","na - person sought help from: cs"
"mth18l","na - person sought help from: cs"
"mth18m","na - person sought help from: cs"
"mth18n","na - person sought help from: cs"
"mth18o","na - person sought help from: cs"
"mth18p","na - person sought help from: cs"
"mth18x","person sought help from: other"
"mth19","ever been told by a doctor/health care worker you have: depression"
"mth20","ever been told by a doctor/health care worker you have: anxiety"
"mth21","last 2 weeks took medication prescribed by doctor/health worker for depression/a"
"mth22","phq score"
"mth23","referral based on phq score"
"mth24","gad score"
"fi1","currently experience constant leakage of urine or stool from vagina during the d"
"fi2","have ever experienced a problem of leakage of urine or stool from vagina"
"fi3","have ever heard of the problem of leakage of urine or stool from vagina"
"fi4","did the leakage problem start after a delivery of a baby or a stillbirth"
"fi5","did the leakage problem start after a normal labor and delivery, or after a diff"
"fi6","what do you think caused the leakage problem"
"fi7","how many days after what caused the problem did the leakage start"
"fi8","have you sought treatment for this condition"
"fi9a","reason treatment was not sought: don't know can be fixed"
"fi9b","reason treatment was not sought: don't know where to go"
"fi9c","reason treatment was not sought: too expensive"
"fi9d","reason treatment was not sought: too far"
"fi9e","reason treatment was not sought: poor quality of care"
"fi9f","reason treatment was not sought: could not get permission"
"fi9g","reason treatment was not sought: embarrassment"
"fi9h","reason treatment was not sought: problem disappeared"
"fi9i","na - reason treatment was not sought: cs"
"fi9j","na - reason treatment was not sought: cs"
"fi9k","na - reason treatment was not sought: cs"
"fi9l","na - reason treatment was not sought: cs"
"fi9x","reason treatment was not sought: other"
"fi10","person whom treatment was last sought"
"fi11","did have an operation to fix the leakage problem"
"fi12","did the treatment stop or reduce the leakage completely"
"seligbp","household eligible for blood pressure measurement"
"seligbm","household eligible for biomarker"
"secoreg","ecological region"
"sdist","district"
"s113","ever attended school - cs"
"s113a","ever participated in literacy program - cs"
"s115","highest grade completed - cs"
"s115_1","highest educational level - cs"
"s235b","received iron-folic acid in last 3 months (15-19)"
"s239aa","activities excluded during menstrual period: entering the temple"
"s239ab","activities excluded during menstrual period: getting involved in religious activ"
"s239ac","activities excluded during menstrual period: touch or cooking food"
"s239ad","activities excluded during menstrual period: eating with family members"
"s239ae","activities excluded during menstrual period: staying in the main house"
"s239af","activities excluded during menstrual period: touching plants"
"s239ag","activities excluded during menstrual period: touching other people"
"s239ah","activities excluded during menstrual period: touching cattle"
"s239ai","activities excluded during menstrual period: fetch water"
"s239aj","activities excluded during menstrual period: sleep with husband"
"s239ax","activities excluded during menstrual period: other"
"s239ay","activities excluded during menstrual period: nothing"
"s636dn","times gave child lassi/yogurt as a drink - cs"
"s641aa","provider of advice/counseling on nutrition: doctor"
"s641ab","provider of advice/counseling on nutrition: nurse/midwife/anm"
"s641ac","provider of advice/counseling on nutrition: health asst./ahw"
"s641ad","provider of advice/counseling on nutrition: mchw"
"s641ae","provider of advice/counseling on nutrition: vhw"
"s641af","provider of advice/counseling on nutrition: tba"
"s641ag","provider of advice/counseling on nutrition: fchv"
"s641ah","provider of advice/counseling on nutrition: mother's group"
"s641ai","provider of advice/counseling on nutrition: social mobilizer"
"s641aj","provider of advice/counseling on nutrition: traditional healers"
"s641ax","provider of advice/counseling on nutrition: others"
"s641ba","time received advice or counseling: during visit to health facility"
"s641bb","time received advice or counseling: during fchv home visit"
"s641bc","time received advice or counseling: during health mother's group meeting"
"s641bx","time received advice or counseling: other"
"s641ca","topic talked about: breastfeeding, not feeding water or  other liquids before si"
"s641cb","topic talked about: introducing soft or solid food when the baby reaches six mon"
"s641cc","topic talked about: giving a variety of foods"
"s641cd","topic talked about: how often to feed foods"
"s641ce","topic talked about: giving animal source food (eggs, milk, meat, fish)"
"s641cf","topic talked about: giving fruits and vegetable"
"s641cg","topic talked about: not feeding sugar-sweetened beverages"
"s641cx","topic talked about: other"
"s641d","growth monitoring promotion in this ward (at your closest health facility)"
"s641e","place attend for growth monitoring promotion sessions"
"s641f","individual nutrition and health counseling in growth monitoring session"
"s641g","health worker explain how to interpret the growth chart"
"s641ha","weight taken: at birth"
"s641hb","weight taken: at immunization"
"s641hc","weight taken: at sick child visit"
"s705","has a marriage certificate for last marriage/union - cs"
"s903","partner ever attended school - cs"
"s905","partner's highest grade - cs"
"s905_1","husband/partner's educational level attained - cs"
"s932f","beating justified if wife brings less or no dowry - cs"
"s932g","beating justified if wife doesn't follow everyday routine - cs"
"s932h","beating justified if wife talks to other men - cs"
"s1014aa","info given during antenatal visit: babies getting hiv from mother"
"s1014ab","info given during antenatal visit: things can do to prevent getting hiv"
"s1014ac","info given during antenatal visit: getting tested for hiv"
"s1102a","type of nearest healthcare facility"
"s1102b","heard of breast cancer"
"s1102c","know woman can do breast self-exam to detect lumps"
"s1103a","result of examination"
"s1103b","received treatment"
"s1103c","heard of cervical cancer"
"s1103d","heard any test for cervical cancer"
"s1105a","time of last test for cervical cancer"
"s1105b","result of last test for cervical cancer"
"s1105c","received any treatment to your cervix"
"s1105e","ever experienced signs of uterine prolapse"
"s1105f","seek treatment of uterine prolapse"
"s1105g","type of treatment received"
"s1105h","surgery fixed the problem"
"v474","ever heard of an illness called tb"
"s1112ba","common symptoms of tb: cough for more than 2 weeks"
"s1112bb","common symptoms of tb: fever in the evenings"
"s1112bc","common symptoms of tb: chest pain"
"s1112bd","common symptoms of tb: loss of weight"
"s1112be","common symptoms of tb: loss of appetite"
"s1112bf","common symptoms of tb: blood of sputum"
"s1112bg","common symptoms of tb: tiredness/fatigue"
"s1112bh","common symptoms of tb: cough"
"s1112bi","common symptoms of tb: fever"
"s1112bj","common symptoms of tb: person turns black"
"s1112bx","common symptoms of tb: other"
"s1112bz","common symptoms of tb: don't know"
"v474a","way of tb spread: through the air when coughing or sneezing"
"v474b","way of tb spread: through sharing utensils"
"v474c","way of tb spread: through touching a person with tb"
"v474d","way of tb spread: through sharing food"
"v474e","way of tb spread: through sexual contact"
"v474f","way of tb spread: through mosquito bite"
"v474g","way of tb spread: through spit/saliva"
"v474h","way of tb spread: inherited"
"v474x","way of tb spread: other"
"v474z","way of tb spread: don't know"
"v475","tb can be cured"
"s1112e","duration of treatment of tb in months"
"s1112f","ever told by hw that you have/had tb"
"s1112g","seek for treatment of tb"
"s1112ha","place of tb treatment:  government hospital"
"s1112hb","place of tb treatment: phc/primary hospital"
"s1112hc","place of tb treatment: health post"
"s1112hd","place of tb treatment: basic health care center"
"s1112he","place of tb treatment: urban health center"
"s1112hf","place of tb treatment: community health unit"
"s1112hg","place of tb treatment: other"
"s1112hh","place of tb treatment: pvt hospital/nursing home"
"s1112hi","place of tb treatment: private clinic"
"s1112hj","place of tb treatment: pharmacy"
"s1112hk","place of tb treatment: other private medical"
